Text,Entities
Sara San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
David Boston.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 12}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Tesla John New York.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}, {'entity': 'LOC', 'start': 11, 'end': 19}]"
Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}]"
Tesla January 2023 John.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 18}, {'entity': 'PERSON', 'start': 19, 'end': 23}]"
New York Tesla Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'ORG', 'start': 9, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 21}]"
San Francisco London.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}]"
Sara Microsoft.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 14}]"
San Francisco Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
2023 Google 2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'DATE', 'start': 12, 'end': 16}]"
Tesla 2022 Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'PERSON', 'start': 11, 'end': 15}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
January 2023 Amazon OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}, {'entity': 'ORG', 'start': 20, 'end': 26}]"
John David.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}]"
Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
"2022 March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 19}]"
Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
San Francisco Sara Tesla.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}, {'entity': 'ORG', 'start': 19, 'end': 24}]"
Boston Michael.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 14}]"
2024 2023 Emma.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'PERSON', 'start': 10, 'end': 14}]"
2023 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}]"
Michael Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'ORG', 'start': 8, 'end': 14}]"
London Boston 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 18}]"
Emma John Microsoft.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 19}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
"London March 15, 2021 2024.","[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 21}, {'entity': 'DATE', 'start': 22, 'end': 26}]"
Google Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Alice San Francisco Tesla.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 19}, {'entity': 'ORG', 'start': 20, 'end': 25}]"
2022 London Microsoft.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 21}]"
Alice New York 2024.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 19}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
New York David.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 14}]"
Boston Microsoft 2024.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}, {'entity': 'DATE', 'start': 17, 'end': 21}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
OpenAI Paris 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
Emma Boston.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}]"
Emma Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
John Boston.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
Boston Microsoft 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}, {'entity': 'DATE', 'start': 17, 'end': 21}]"
Emma Alice Paris.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}, {'entity': 'LOC', 'start': 11, 'end': 16}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Google Alice Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}, {'entity': 'ORG', 'start': 13, 'end': 19}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
John 2024.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}]"
Paris Alice Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 21}]"
"Paris Michael March 15, 2021.","[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 28}]"
Tesla Google.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
OpenAI Alice David.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 18}]"
OpenAI January 2023 January 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 19}, {'entity': 'DATE', 'start': 20, 'end': 32}]"
Amazon 2022 Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'PERSON', 'start': 12, 'end': 16}]"
OpenAI OpenAI Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}]"
San Francisco Emma.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}]"
Amazon January 2023 Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 19}, {'entity': 'PERSON', 'start': 20, 'end': 24}]"
"Google March 15, 2021 Alice.","[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 21}, {'entity': 'PERSON', 'start': 22, 'end': 27}]"
OpenAI London 2024.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 18}]"
"January 2023 John March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 17}, {'entity': 'DATE', 'start': 18, 'end': 32}]"
Michael Boston London.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 21}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Amazon Microsoft New York.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}, {'entity': 'LOC', 'start': 17, 'end': 25}]"
San Francisco Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}]"
"March 15, 2021 London 2022.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 21}, {'entity': 'DATE', 'start': 22, 'end': 26}]"
San Francisco London.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}]"
New York Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'LOC', 'start': 9, 'end': 14}]"
Amazon 2024.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
January 2023 2024 David.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}, {'entity': 'PERSON', 'start': 18, 'end': 23}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
John London.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Sara OpenAI San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 25}]"
2023 London.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}]"
Google 2022 Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Google 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
January 2023 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 26}]"
Boston OpenAI Amazon.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 20}]"
"March 15, 2021 Google.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
David New York Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 14}, {'entity': 'PERSON', 'start': 15, 'end': 19}]"
Boston Amazon David.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 19}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
New York David.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 14}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Boston Emma.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
Paris 2022 Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 20}]"
OpenAI London Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 20}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2022 Paris.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 10}]"
Michael San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 21}]"
Tesla John January 2023.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}, {'entity': 'DATE', 'start': 11, 'end': 23}]"
Emma 2024 OpenAI.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 16}]"
"John March 15, 2021.","[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 19}]"
Tesla 2022.,"[{'entity': 'ORG', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Microsoft Boston Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 16}, {'entity': 'PERSON', 'start': 17, 'end': 21}]"
David David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 11}]"
Boston 2022.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Michael January 2023 Amazon.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'DATE', 'start': 8, 'end': 20}, {'entity': 'ORG', 'start': 21, 'end': 27}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
"March 15, 2021 New York.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 23}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
OpenAI 2024 New York.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 20}]"
OpenAI Amazon Paris.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 19}]"
David San Francisco Boston.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'LOC', 'start': 6, 'end': 19}, {'entity': 'LOC', 'start': 20, 'end': 26}]"
David Emma London.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'PERSON', 'start': 6, 'end': 10}, {'entity': 'LOC', 'start': 11, 'end': 17}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Emma John San Francisco.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 9}, {'entity': 'LOC', 'start': 10, 'end': 23}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
Emma Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
Microsoft Tesla Emma.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'ORG', 'start': 10, 'end': 15}, {'entity': 'PERSON', 'start': 16, 'end': 20}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Michael Boston Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}, {'entity': 'LOC', 'start': 8, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
January 2023 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 26}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Alice Amazon 2024.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}]"
Boston Google.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
San Francisco.,"[{'entity': 'LOC', 'start': 0, 'end': 13}]"
2023 San Francisco.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
2023 OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
David Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}]"
2023 OpenAI Paris.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}, {'entity': 'LOC', 'start': 12, 'end': 17}]"
Amazon Michael.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 14}]"
2023.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Google OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}]"
Paris 2023.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}]"
Google Microsoft Sara.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 16}, {'entity': 'PERSON', 'start': 17, 'end': 21}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
January 2023 Alice.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 18}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}]"
OpenAI Paris Alice.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 18}]"
"March 15, 2021 Amazon.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
Paris Microsoft.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 15}]"
Boston Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'LOC', 'start': 7, 'end': 12}]"
"March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 14}]"
Microsoft Alice Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'PERSON', 'start': 10, 'end': 15}, {'entity': 'ORG', 'start': 16, 'end': 25}]"
Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 7}]"
David Amazon John.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 17}]"
2024 Tesla.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 10}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
"Google Amazon March 15, 2021.","[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'ORG', 'start': 7, 'end': 13}, {'entity': 'DATE', 'start': 14, 'end': 28}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
Emma.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
2022.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
January 2023 Michael.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'PERSON', 'start': 13, 'end': 20}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
January 2023 Paris.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 18}]"
Paris 2023 London.,"[{'entity': 'LOC', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'LOC', 'start': 11, 'end': 17}]"
David 2022 Tesla.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'DATE', 'start': 6, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 16}]"
Microsoft 2024 2022.,"[{'entity': 'ORG', 'start': 0, 'end': 9}, {'entity': 'DATE', 'start': 10, 'end': 14}, {'entity': 'DATE', 'start': 15, 'end': 19}]"
January 2023.,"[{'entity': 'DATE', 'start': 0, 'end': 12}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
Paris.,"[{'entity': 'LOC', 'start': 0, 'end': 5}]"
Microsoft.,"[{'entity': 'ORG', 'start': 0, 'end': 9}]"
Amazon John.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'PERSON', 'start': 7, 'end': 11}]"
2024 San Francisco Paris.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}, {'entity': 'LOC', 'start': 19, 'end': 24}]"
2024.,"[{'entity': 'DATE', 'start': 0, 'end': 4}]"
"January 2023 2023 March 15, 2021.","[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 17}, {'entity': 'DATE', 'start': 18, 'end': 32}]"
New York.,"[{'entity': 'LOC', 'start': 0, 'end': 8}]"
2022 Microsoft.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 14}]"
San Francisco Amazon John.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'ORG', 'start': 14, 'end': 20}, {'entity': 'PERSON', 'start': 21, 'end': 25}]"
John.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
Sara.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}]"
OpenAI 2024 Amazon.,"[{'entity': 'ORG', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 18}]"
"March 15, 2021 Boston Michael.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'LOC', 'start': 15, 'end': 21}, {'entity': 'PERSON', 'start': 22, 'end': 29}]"
January 2023 Boston.,"[{'entity': 'DATE', 'start': 0, 'end': 12}, {'entity': 'LOC', 'start': 13, 'end': 19}]"
John Michael.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 12}]"
Emma January 2023.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'DATE', 'start': 5, 'end': 17}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
2024 Google.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 11}]"
London.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
David.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
"David Amazon March 15, 2021.","[{'entity': 'PERSON', 'start': 0, 'end': 5}, {'entity': 'ORG', 'start': 6, 'end': 12}, {'entity': 'DATE', 'start': 13, 'end': 27}]"
Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 6}]"
OpenAI.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
"March 15, 2021 Sara.","[{'entity': 'DATE', 'start': 0, 'end': 14}, {'entity': 'PERSON', 'start': 15, 'end': 19}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
New York Sara Boston.,"[{'entity': 'LOC', 'start': 0, 'end': 8}, {'entity': 'PERSON', 'start': 9, 'end': 13}, {'entity': 'LOC', 'start': 14, 'end': 20}]"
2023 London Tesla.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 11}, {'entity': 'ORG', 'start': 12, 'end': 17}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
2023 David OpenAI.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'PERSON', 'start': 5, 'end': 10}, {'entity': 'ORG', 'start': 11, 'end': 17}]"
Tesla.,"[{'entity': 'ORG', 'start': 0, 'end': 5}]"
2022 San Francisco Google.,"[{'entity': 'DATE', 'start': 0, 'end': 4}, {'entity': 'LOC', 'start': 5, 'end': 18}, {'entity': 'ORG', 'start': 19, 'end': 25}]"
San Francisco John 2024.,"[{'entity': 'LOC', 'start': 0, 'end': 13}, {'entity': 'PERSON', 'start': 14, 'end': 18}, {'entity': 'DATE', 'start': 19, 'end': 23}]"
Google.,"[{'entity': 'ORG', 'start': 0, 'end': 6}]"
London 2024.,"[{'entity': 'LOC', 'start': 0, 'end': 6}, {'entity': 'DATE', 'start': 7, 'end': 11}]"
Emma Microsoft Google.,"[{'entity': 'PERSON', 'start': 0, 'end': 4}, {'entity': 'ORG', 'start': 5, 'end': 14}, {'entity': 'ORG', 'start': 15, 'end': 21}]"
Alice.,"[{'entity': 'PERSON', 'start': 0, 'end': 5}]"
